epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,1665.7,0.91613,0.61504,1.17671,0.78146,0.75677,0.75496,0.38486,1.25225,0.76078,1.59692,0.000246397,0.000246397,0.000246397
91,1683.9,0.95598,0.60278,1.21308,0.83321,0.74013,0.77285,0.38704,1.20008,0.74167,1.53647,0.000232473,0.000232473,0.000232473
92,1702.28,0.93949,0.61525,1.23771,0.79811,0.73899,0.75723,0.38627,1.21216,0.72992,1.5451,0.00021891,0.00021891,0.00021891
93,1720.56,0.90623,0.59654,1.18464,0.75197,0.76263,0.74525,0.37547,1.22775,0.7449,1.5597,0.000205715,0.000205715,0.000205715
94,1738.78,0.91764,0.61188,1.19044,0.76386,0.73866,0.73796,0.38051,1.24056,0.7357,1.58883,0.000192899,0.000192899,0.000192899
95,1757.06,0.91142,0.5982,1.1825,0.77377,0.77511,0.75611,0.38534,1.24541,0.72051,1.5897,0.000180469,0.000180469,0.000180469
96,1775.34,0.9211,0.59898,1.19188,0.74266,0.78618,0.76492,0.38724,1.22526,0.69537,1.57753,0.000168435,0.000168435,0.000168435
97,1793.45,0.9194,0.6182,1.19093,0.76061,0.76133,0.74806,0.3809,1.22823,0.71503,1.55695,0.000156805,0.000156805,0.000156805
98,1811.57,0.93252,0.59498,1.18684,0.7474,0.77169,0.7599,0.38985,1.24379,0.70057,1.58331,0.000145586,0.000145586,0.000145586
99,1829.88,0.92183,0.59239,1.19225,0.76058,0.75968,0.76326,0.3804,1.24969,0.7194,1.60339,0.000134787,0.000134787,0.000134787
100,1847.96,0.87201,0.57815,1.15165,0.7379,0.79485,0.77526,0.38975,1.2433,0.70611,1.5976,0.000124415,0.000124415,0.000124415
101,1864.18,0.80688,0.47523,1.14636,0.77255,0.76342,0.74977,0.37869,1.27429,0.72277,1.61327,0.000114476,0.000114476,0.000114476
102,1880.26,0.79091,0.45276,1.11716,0.75728,0.75253,0.73786,0.36491,1.26933,0.71993,1.61812,0.000104978,0.000104978,0.000104978
103,1896.42,0.79629,0.49522,1.12972,0.74373,0.75471,0.74282,0.37128,1.23501,0.70004,1.59219,9.59277e-05,9.59277e-05,9.59277e-05
104,1912.63,0.71232,0.39525,1.07758,0.75103,0.73965,0.74694,0.37486,1.20965,0.70611,1.57026,8.73304e-05,8.73304e-05,8.73304e-05
105,1928.71,0.73092,0.40646,1.08125,0.73937,0.77047,0.75728,0.38088,1.21404,0.69557,1.56655,7.91925e-05,7.91925e-05,7.91925e-05
106,1944.89,0.72564,0.39429,1.05971,0.7695,0.73164,0.76054,0.38344,1.21932,0.68915,1.57477,7.15194e-05,7.15194e-05,7.15194e-05
107,1961.04,0.7239,0.39938,1.07386,0.858,0.68072,0.7615,0.38698,1.22267,0.68852,1.57802,6.43165e-05,6.43165e-05,6.43165e-05
108,1977.5,0.70958,0.39638,1.03912,0.88618,0.67176,0.76326,0.37944,1.24244,0.68164,1.60297,5.75887e-05,5.75887e-05,5.75887e-05
